<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
011019;000000;8304.9500000;8535.0000000;8200.0000000;8321.5200000;12264
021019;000000;8321.8700000;8391.0000000;8168.8500000;8381.7200000;6748
031019;000000;8381.7200000;8419.9500000;8059.2200000;8240.4100000;7498
041019;000000;8241.2700000;8241.3500000;8002.2100000;8156.6700000;7561
051019;000000;8156.6800000;8200.0000000;8020.2000000;8147.6300000;3657
061019;000000;8147.6300000;8176.1800000;7780.8500000;7859.7900000;8446
071019;000000;7859.7900000;8310.5700000;7762.3500000;8209.0000000;9730
081019;000000;8208.9900000;8342.9700000;8107.2600000;8180.0000000;5667
091019;000000;8180.0000000;8712.4500000;8121.0000000;8590.0000000;14248
101019;000000;8590.0100000;8660.0000000;8452.5000000;8587.5000000;7781
111019;000000;8587.4900000;8826.0000000;8226.0000000;8267.3300000;12266
121019;000000;8263.0200000;8425.0000000;8261.4600000;8309.0300000;2913
131019;000000;8309.0300000;8469.0200000;8146.4700000;8282.9700000;5610
141019;000000;8282.9600000;8409.0000000;8215.6600000;8355.0000000;4290
151019;000000;8355.0000000;8420.0000000;8085.6500000;8162.4400000;8406
161019;000000;8162.4400000;8171.5900000;7908.8600000;7993.5400000;8287
171019;000000;7995.8100000;8124.4200000;7937.0100000;8076.2000000;4753
181019;000000;8076.9400000;8117.7700000;7814.0800000;7954.1600000;6956
191019;000000;7954.1500000;8099.9800000;7873.4600000;7965.2800000;4712
201019;000000;7965.2700000;8309.0000000;7875.0100000;8236.1200000;5983
211019;000000;8235.9400000;8349.8400000;8156.0000000;8209.9200000;5964
221019;000000;8209.9200000;8317.1400000;7998.9000000;8024.7200000;5767
231019;000000;8024.0000000;8049.0000000;7296.4400000;7474.8500000;18866
241019;000000;7475.5400000;7509.9900000;7359.4800000;7430.8700000;7782
251019;000000;7430.8700000;8800.1000000;7389.9100000;8668.0000000;26909
261019;000000;8668.0000000;10540.4900000;8645.0100000;9259.7800000;53163
271019;000000;9259.9800000;9826.7200000;9102.3300000;9548.8400000;19437
281019;000000;9555.8900000;9939.6900000;9180.5900000;9226.5000000;16450
291019;000000;9225.0600000;9575.0000000;9068.1900000;9430.8000000;12501
301019;000000;9431.3600000;9431.3600000;8991.3300000;9164.4400000;9722
311019;000000;9164.4500000;9433.0000000;8950.0000000;9159.4800000;8190
011119;000000;9159.9600000;9299.9900000;9057.2700000;9253.1200000;7635
021119;000000;9253.0900000;9393.0000000;9210.0000000;9308.5200000;4437
